company,Date,Open,High,Low,Close,Adj Close,Volume
AFL,2017-06-26,38.959999,39.119999,38.715,38.84,33.052555,3041800
AFL,2017-07-03,39.055,39.665001,38.740002,38.990002,33.180199,10810600
AFL,2017-07-10,38.91,39.119999,38.599998,38.935001,33.133396,10467600
AFL,2017-07-17,38.904999,39.16,38.605,38.785,33.005745,11054400
AFL,2017-07-24,38.790001,39.919998,38.310001,39.689999,33.77589,18039800
AFL,2017-07-31,39.790001,40.724998,39.625,40.580002,34.533279,16954200
AFL,2017-08-07,40.57,40.900002,40.334999,40.375,34.358818,14101000
AFL,2017-08-14,40.494999,40.945,39.705002,39.919998,33.971615,12971600
AFL,2017-08-21,39.755001,40.549999,39.580002,40.455002,34.426907,13089000
AFL,2017-08-28,40.43,41.695,40.0,41.450001,35.464649,23495400
AFL,2017-09-04,41.345001,41.560001,39.875,40.59,34.728821,14774200
AFL,2017-09-11,41.095001,41.439999,40.695,41.404999,35.426144,15095000
AFL,2017-09-18,41.445,42.119999,41.355,41.970001,35.909557,14060000
AFL,2017-09-25,41.915001,42.255001,40.549999,40.695,34.818661,19434400
AFL,2017-10-02,40.759998,41.509998,40.705002,41.134998,35.195129,15231800
AFL,2017-10-09,41.115002,42.34,41.025002,42.005001,35.939495,13245000
AFL,2017-10-16,42.029999,42.619999,41.605,41.924999,35.871052,11195400
AFL,2017-10-23,41.990002,42.849998,41.605,41.970001,35.909557,18208200
AFL,2017-10-30,41.855,42.355,41.814999,41.990002,35.926678,16117000
AFL,2017-11-06,41.935001,42.509998,41.5,41.720001,35.695656,12554600
AFL,2017-11-13,41.634998,42.48,41.549999,41.924999,35.871052,14345400
AFL,2017-11-20,42.049999,42.830002,42.035,42.5,36.557934,9035600
AFL,2017-11-27,42.544998,44.049999,42.494999,43.799999,37.676186,20675800
AFL,2017-12-04,44.224998,44.369999,43.575001,44.080002,37.917034,15203800
AFL,2017-12-11,44.139999,44.834999,43.945,44.630001,38.390137,16605800
AFL,2017-12-18,44.865002,44.904999,43.400002,43.605,37.508434,20640200
AFL,2017-12-25,43.66,44.264999,43.610001,43.889999,37.753593,8149800
AFL,2018-01-01,44.18,44.919998,43.790001,44.865002,38.592281,13863800
AFL,2018-01-08,44.935001,45.865002,41.849998,42.470001,36.532139,39951400
AFL,2018-01-15,42.494999,44.174999,42.459999,43.41,37.340714,27273000
AFL,2018-01-22,44.0,45.52,43.634998,45.494999,39.134201,23540000
AFL,2018-01-29,45.389999,45.505001,43.889999,44.474998,38.256805,25933400
AFL,2018-02-05,44.330002,44.555,41.41,42.384998,36.459023,27815400
AFL,2018-02-12,42.555,45.02,42.125,44.825001,38.557869,19516800
AFL,2018-02-19,44.380001,45.345001,44.165001,44.785,38.52346,16466800
AFL,2018-02-26,44.93,45.630001,43.154999,43.755001,37.857056,22118000
AFL,2018-03-05,43.555,45.849998,43.485001,45.84,39.661007,20290400
AFL,2018-03-12,45.759998,45.880001,44.93,45.244999,39.146221,24152200
AFL,2018-03-19,45.43,45.740002,43.23,43.349998,37.506653,24405000
AFL,2018-03-26,43.919998,44.23,43.16,43.759998,37.861382,19178500
AFL,2018-04-02,43.849998,44.490002,42.419998,43.369999,37.523952,22752200
AFL,2018-04-09,43.650002,45.07,43.380001,44.560001,38.553547,12393500
AFL,2018-04-16,44.889999,45.52,44.689999,45.279999,39.176495,17892000
AFL,2018-04-23,45.360001,46.189999,44.720001,45.889999,39.704266,13953300
AFL,2018-04-30,46.009998,46.189999,44.060001,44.810001,38.769844,20479800
AFL,2018-05-07,44.810001,45.509998,44.310001,45.23,39.133228,13923400
AFL,2018-05-14,45.25,45.689999,44.939999,45.389999,39.271664,13265900
AFL,2018-05-21,45.610001,45.810001,44.950001,45.34,39.228397,13968600
AFL,2018-05-28,45.029999,45.849998,44.259998,45.400002,39.504833,16180900
AFL,2018-06-04,45.619999,45.91,45.16,45.889999,39.931206,12974800
AFL,2018-06-11,45.98,46.0,45.009998,45.75,39.80938,15918400
AFL,2018-06-18,45.400002,45.52,44.150002,44.189999,38.451942,15405300
AFL,2018-06-25,44.009998,44.380001,43.009998,43.02,37.433868,15048200
AFL,2018-07-02,42.849998,43.349998,42.470001,42.91,37.338158,9469000
AFL,2018-07-09,42.970001,43.450001,42.130001,42.599998,37.068417,14587000
AFL,2018-07-16,42.610001,43.439999,42.450001,43.060001,37.468678,14523300
AFL,2018-07-23,43.02,46.490002,42.970001,46.310001,40.296669,15777600
AFL,2018-07-30,46.349998,46.959999,46.130001,46.59,40.540306,18426200
AFL,2018-08-06,46.619999,47.080002,46.220001,46.48,40.444592,10624900
AFL,2018-08-13,46.419998,46.849998,46.02,46.759998,40.688232,15535900
AFL,2018-08-20,46.740002,47.07,46.259998,46.669998,40.609921,10790900
AFL,2018-08-27,46.900002,47.150002,46.209999,46.240002,40.460632,12970000
AFL,2018-09-03,46.09,47.150002,45.799999,46.82,40.968143,9883900
AFL,2018-09-10,46.93,47.279999,46.200001,47.209999,41.309391,12159700
AFL,2018-09-17,47.27,48.09,46.869999,48.040001,42.03566,15706400
AFL,2018-09-24,48.099998,48.189999,46.630001,47.07,41.186893,12235300
AFL,2018-10-01,47.240002,47.369999,46.400002,46.5,40.688129,13338900
AFL,2018-10-08,46.400002,47.639999,43.509998,44.049999,38.544353,21438400
AFL,2018-10-15,44.02,45.080002,43.669998,44.470001,38.911858,15422800
AFL,2018-10-22,44.560001,44.860001,41.450001,41.700001,36.488075,21763400
AFL,2018-10-29,42.099998,43.759998,41.84,42.900002,37.538078,18884400
AFL,2018-11-05,42.939999,45.48,42.91,45.040001,39.410622,13502900
AFL,2018-11-12,45.049999,45.25,43.360001,44.57,38.999374,19047900
AFL,2018-11-19,44.669998,45.419998,44.040001,44.470001,38.911858,13305000
AFL,2018-11-26,44.900002,45.919998,44.18,45.740002,40.253803,16368000
AFL,2018-12-03,46.130001,46.380001,42.66,43.25,38.062466,19022100
AFL,2018-12-10,43.23,45.799999,42.259998,44.610001,39.259342,21998200
AFL,2018-12-17,44.450001,45.119999,43.07,43.23,38.044857,28068700
AFL,2018-12-24,42.93,45.470001,41.880001,44.950001,39.558559,13465600
AFL,2018-12-31,45.130001,45.580002,44.279999,44.919998,39.532162,15725500
AFL,2019-01-07,44.889999,45.880001,44.689999,45.689999,40.209801,17048700
AFL,2019-01-14,45.439999,47.830002,45.419998,47.700001,41.978718,19997300
AFL,2019-01-21,47.59,48.049999,47.139999,47.57,41.864311,14498100
AFL,2019-01-28,47.400002,48.59,46.959999,47.939999,42.189922,23772000
AFL,2019-02-04,48.16,48.560001,47.580002,48.18,42.401142,16632400
AFL,2019-02-11,48.310001,49.380001,47.830002,49.279999,43.369205,13772700
AFL,2019-02-18,48.93,49.240002,48.619999,48.75,42.902763,12692400
AFL,2019-02-25,48.959999,49.580002,48.540001,49.169998,43.510792,15714400
AFL,2019-03-04,49.209999,49.709999,48.18,48.549999,42.962154,12793900
AFL,2019-03-11,48.790001,50.150002,48.639999,49.950001,44.201031,16370500
AFL,2019-03-18,50.110001,50.66,49.139999,49.459999,43.767418,15029700
AFL,2019-03-25,49.5,50.139999,49.27,50.0,44.245258,12830100
AFL,2019-04-01,50.310001,50.459999,48.290001,49.0,43.360359,18860700
AFL,2019-04-08,49.119999,49.799999,48.799999,49.509998,43.811661,15637600
AFL,2019-04-15,49.560001,49.759998,48.75,48.919998,43.28957,15010800
AFL,2019-04-22,48.68,50.02,48.450001,49.529999,43.829357,13958700
AFL,2019-04-29,49.700001,50.720001,49.66,50.490002,44.678875,15047800
AFL,2019-05-06,49.91,51.360001,49.720001,51.27,45.369099,14731800
AFL,2019-05-13,50.580002,52.439999,50.16,52.18,46.174355,16113300
AFL,2019-05-20,52.139999,52.450001,51.209999,52.009998,46.023926,13042600
AFL,2019-05-27,51.91,52.290001,51.040001,51.299999,45.631851,11261900
AFL,2019-06-03,51.259998,54.73,51.139999,54.549999,48.522758,16189000
AFL,2019-06-10,54.889999,55.110001,53.919998,55.040001,48.958611,14013600
AFL,2019-06-17,55.130001,55.669998,54.5,54.950001,48.878563,15019300
AFL,2019-06-24,54.959999,55.360001,54.169998,54.810001,48.754028,15680900
AFL,2019-07-01,55.490002,56.959999,55.16,56.810001,50.533047,9203700
AFL,2019-07-08,56.68,57.080002,56.07,56.889999,50.60421,11634800
AFL,2019-07-15,57.150002,57.18,54.959999,55.0,48.923038,15324900
AFL,2019-07-22,55.049999,55.369999,52.860001,53.889999,47.935673,19077800
AFL,2019-07-29,53.740002,53.84,51.790001,52.529999,46.725945,19664400
AFL,2019-08-05,51.939999,53.07,50.939999,52.880001,47.037273,16612500
AFL,2019-08-12,52.599998,53.189999,51.25,52.650002,46.832695,13628400
AFL,2019-08-19,53.23,53.360001,48.139999,48.360001,43.016693,23359900
AFL,2019-08-26,48.68,50.32,48.5,50.18,44.865547,17471000
AFL,2019-09-02,49.75,51.84,49.599998,51.57,46.10833,13002100
AFL,2019-09-09,51.52,52.169998,50.540001,51.77,46.287151,17186300
AFL,2019-09-16,51.529999,53.07,51.41,51.970001,46.465977,16374000
AFL,2019-09-23,51.740002,52.91,51.580002,51.889999,46.394444,18109700
AFL,2019-09-30,52.0,52.779999,50.43,52.099998,46.582199,17887400
AFL,2019-10-07,52.09,52.900002,51.02,52.439999,46.8862,14766700
AFL,2019-10-14,52.25,53.099998,52.200001,52.709999,47.127602,14281700
AFL,2019-10-21,53.0,53.639999,52.25,53.259998,47.619354,12949900
AFL,2019-10-28,53.57,53.889999,52.84,53.610001,47.932278,12017600
AFL,2019-11-04,53.869999,54.279999,52.59,54.139999,48.406155,12906900
AFL,2019-11-11,53.709999,54.48,53.48,54.400002,48.638615,9993600
AFL,2019-11-18,54.259998,54.549999,53.740002,53.990002,48.272038,11623900
AFL,2019-11-25,54.119999,55.07,54.040001,54.84,49.276638,9537500
AFL,2019-12-02,54.720001,54.830002,51.290001,52.990002,47.614307,18918900
